"filename", "language", "XML", "Python", "Log", "comment", "blank", "total"
"/Users/benmaltby/Documents/python/NEA/.idea/NEA.iml", "XML", -12, 0, 0, 0, 0, -12
"/Users/benmaltby/Documents/python/NEA/.idea/inspectionProfiles/profiles_settings.xml", "XML", -6, 0, 0, 0, 0, -6
"/Users/benmaltby/Documents/python/NEA/.idea/misc.xml", "XML", -4, 0, 0, 0, 0, -4
"/Users/benmaltby/Documents/python/NEA/.idea/modules.xml", "XML", -8, 0, 0, 0, 0, -8
"/Users/benmaltby/Documents/python/NEA/Code/New/V1.1_Broken/Chunk_Struct.py", "Python", 0, -33, 0, -18, -19, -70
"/Users/benmaltby/Documents/python/NEA/Code/New/V1.1_Broken/EdgeDetectionAlgorithm.py", "Python", 0, -67, 0, -5, -28, -100
"/Users/benmaltby/Documents/python/NEA/Code/New/V1.1_Broken/Failed Code.py", "Python", 0, 0, 0, -77, -8, -85
"/Users/benmaltby/Documents/python/NEA/Code/New/V1.1_Broken/GEWY.py", "Python", 0, -267, 0, -17, -89, -373
"/Users/benmaltby/Documents/python/NEA/Code/New/V1.1_Broken/GenerateChunkMapFromImage.py", "Python", 0, -30, 0, 0, -18, -48
"/Users/benmaltby/Documents/python/NEA/Code/New/V1.1_Broken/GuiHitboxOBJ.py", "Python", 0, -10, 0, -1, -2, -13
"/Users/benmaltby/Documents/python/NEA/Code/New/V1.1_Broken/IntersectionDefinition.py", "Python", 0, -14, 0, 0, -4, -18
"/Users/benmaltby/Documents/python/NEA/Code/New/V1.1_Broken/LineSegmentDefinition.py", "Python", 0, -56, 0, 0, -11, -67
"/Users/benmaltby/Documents/python/NEA/Code/New/V1.1_Broken/Main.py", "Python", 0, -94, 0, -18, -28, -140
"/Users/benmaltby/Documents/python/NEA/Code/New/V1.1_Broken/MapProcessing.py", "Python", 0, -88, 0, -21, -22, -131
"/Users/benmaltby/Documents/python/NEA/Code/New/V1.1_Broken/ObjectDef.py", "Python", 0, -8, 0, 0, -3, -11
"/Users/benmaltby/Documents/python/NEA/Code/New/V1.1_Broken/ProjectileDefinition.py", "Python", 0, -10, 0, 0, -3, -13
"/Users/benmaltby/Documents/python/NEA/Code/New/V1.1_Broken/RayCastDefinition.py", "Python", 0, -36, 0, -4, -9, -49
"/Users/benmaltby/Documents/python/NEA/Code/New/V1.1_Broken/TurretDefinition.py", "Python", 0, -57, 0, -13, -15, -85
"/Users/benmaltby/Documents/python/NEA/Code/New/V1.1_Broken/VOBJ.py", "Python", 0, -43, 0, -2, -21, -66
"/Users/benmaltby/Documents/python/NEA/Code/New/V1.1_Broken/line-intersection-efficiency-test.py", "Python", 0, -38, 0, 0, -23, -61
"/Users/benmaltby/Documents/python/NEA/Code/New/V1.5_Broken/Chunk_Struct.py", "Python", 0, -33, 0, -18, -19, -70
"/Users/benmaltby/Documents/python/NEA/Code/New/V1.5_Broken/EdgeDetectionAlgorithm.py", "Python", 0, -67, 0, -5, -28, -100
"/Users/benmaltby/Documents/python/NEA/Code/New/V1.5_Broken/Failed Code.py", "Python", 0, 0, 0, -77, -8, -85
"/Users/benmaltby/Documents/python/NEA/Code/New/V1.5_Broken/GEWY.py", "Python", 0, -267, 0, -17, -89, -373
"/Users/benmaltby/Documents/python/NEA/Code/New/V1.5_Broken/GenerateChunkMapFromImage.py", "Python", 0, -32, 0, 0, -18, -50
"/Users/benmaltby/Documents/python/NEA/Code/New/V1.5_Broken/GuiHitboxOBJ.py", "Python", 0, -10, 0, -1, -2, -13
"/Users/benmaltby/Documents/python/NEA/Code/New/V1.5_Broken/IntersectionDefinition.py", "Python", 0, -14, 0, 0, -4, -18
"/Users/benmaltby/Documents/python/NEA/Code/New/V1.5_Broken/LineSegmentDefinition.py", "Python", 0, -56, 0, 0, -11, -67
"/Users/benmaltby/Documents/python/NEA/Code/New/V1.5_Broken/Main.py", "Python", 0, -91, 0, -21, -28, -140
"/Users/benmaltby/Documents/python/NEA/Code/New/V1.5_Broken/MapProcessing.py", "Python", 0, -94, 0, -21, -22, -137
"/Users/benmaltby/Documents/python/NEA/Code/New/V1.5_Broken/ObjectDef.py", "Python", 0, -8, 0, 0, -3, -11
"/Users/benmaltby/Documents/python/NEA/Code/New/V1.5_Broken/ProjectileDefinition.py", "Python", 0, -10, 0, 0, -3, -13
"/Users/benmaltby/Documents/python/NEA/Code/New/V1.5_Broken/RayCastDefinition.py", "Python", 0, -37, 0, -4, -9, -50
"/Users/benmaltby/Documents/python/NEA/Code/New/V1.5_Broken/TurretDefinition.py", "Python", 0, -59, 0, -14, -15, -88
"/Users/benmaltby/Documents/python/NEA/Code/New/V1.5_Broken/VOBJ.py", "Python", 0, -43, 0, -2, -21, -66
"/Users/benmaltby/Documents/python/NEA/Code/New/V1.5_Broken/debug.log", "Log", 0, 0, 0, 0, -1, -1
"/Users/benmaltby/Documents/python/NEA/Code/New/V1.5_Broken/line-intersection-efficiency-test.py", "Python", 0, -38, 0, 0, -23, -61
"/Users/benmaltby/Documents/python/NEA/Code/New/v1/EdgeDetectionAlgorithm.py", "Python", 0, -50, 0, -4, -23, -77
"/Users/benmaltby/Documents/python/NEA/Code/New/v1/Failed Code.py", "Python", 0, 0, 0, -77, -8, -85
"/Users/benmaltby/Documents/python/NEA/Code/New/v1/GEWY.py", "Python", 0, -267, 0, -17, -89, -373
"/Users/benmaltby/Documents/python/NEA/Code/New/v1/GuiHitboxOBJ.py", "Python", 0, -10, 0, -1, -2, -13
"/Users/benmaltby/Documents/python/NEA/Code/New/v1/IntersectionDefinition.py", "Python", 0, -14, 0, 0, -4, -18
"/Users/benmaltby/Documents/python/NEA/Code/New/v1/LineSegmentDefinition.py", "Python", 0, -56, 0, 0, -11, -67
"/Users/benmaltby/Documents/python/NEA/Code/New/v1/Main.py", "Python", 0, -79, 0, -14, -25, -118
"/Users/benmaltby/Documents/python/NEA/Code/New/v1/MapProcessing.py", "Python", 0, -88, 0, -21, -22, -131
"/Users/benmaltby/Documents/python/NEA/Code/New/v1/ObjectDef.py", "Python", 0, -8, 0, 0, -3, -11
"/Users/benmaltby/Documents/python/NEA/Code/New/v1/ProjectileDefinition.py", "Python", 0, -10, 0, 0, -3, -13
"/Users/benmaltby/Documents/python/NEA/Code/New/v1/RayCastDefinition.py", "Python", 0, -30, 0, -6, -9, -45
